text,intent
how are you?,greeting
hello,greeting
whats up,greeting
thanks,greeting
thank you so much,greeting
good morning,greeting
good afternoon,greeting
bye,leaving
see you later,leaving
talk to you later,leaving
hows the weather,weather
whats the weather like,weather
whats the temperature,weather
temperature,weather
humidity,weather
what is the humidity,weather
how hot is it?,weather
how are you,greeting
goodbye,leaving
quit stop exit,leaving
good great job,compliment
you are amazing great awesome nice smart kind nice,compliment
you are the best,compliment
you are stupid,insult
you are very bad,insult
very smart,compliment
you are so bad,insult
shut up,leaving
you are very nice smart smart,compliment
you are the best,compliment
tell me a joke,joke
joke time,joke
can you sing,personal_q
can you dance,personal_q
can you are you,personal_q
who are you,personal_q
what is your favorite who,personal_q
what is your name,personal_q
do you like,personal_q
do you can you do,personal_q
give me the latest news on,open_in_browser
tell me news about,open_in_browser
give news about,open_in_browser
i have to go,leaving
no one could be better than you,compliment
where am i,location
where are we,location
where are you,location
what country city state is this,location
what is my location,location
open in browser,open_in_browser
open website in browser,open_in_browser
search for this in browser,open_in_browser
open,open_in_browser
date,date_time
time,date_time
what time is it,date_time
what day month year is it,date_time
repeat after me,repeat
repeat what I say,repeat
start timer,timer
new timer,timer
add timer,timer
stop timer,timer
pause timer,timer
continue timer,timer
resume timer,timer
delete timer,timer
cancel timer,timer